#bundle=v2.18.0#count=753
balti.xposed.pixelifygooglephotos/balti.xposed.pixelifygooglephotos.ActivityMain	pixelify_gphotos
com.android.settings/com.android.settings.MainSettingsActivity	generic_settings
com.android.settings/com.android.settings.MiniromTebEktipiti	generic_settings
com.android.settings/com.android.settings.MiuiPasswordGuardActivity	generic_settings
com.android.settings/com.android.settings.MiuiSettings	generic_settings
com.android.settings/com.android.settings.MlehoySettings	generic_settings
com.android.settings/com.android.settings.MySettingsActivity	generic_settings
com.android.settings/com.android.settings.OntimSettingsActivity	generic_settings
com.android.settings/com.android.settings.OppoSettings	generic_settings
com.android.settings/com.android.settings.OriginSettings	generic_settings
com.android.settings/com.android.settings.Settings	generic_settings
com.android.settings/com.android.settings.Settings$AudioProfileSettingsActivity	generic_settings
com.android.settings/com.android.settings.Settings$EdgeSettingsActivity	generic_settings
com.android.settings/com.android.settings.Settings$FingerprintOperationActivity	generic_settings
com.android.settings/com.android.settings.Settings$GLFingerPrintManagerActivity	generic_settings
com.android.settings/com.android.settings.Settings$HotspotActivity	generic_settings
com.android.settings/com.android.settings.Settings$HtcAboutPhoneHelpActivity	generic_settings
com.android.settings/com.android.settings.Settings$SecuritySettingsActivity	generic_settings
com.android.settings/com.android.settings.Settings$SprdManageApplicationsActivity	generic_settings
com.android.settings/com.android.settings.Settings$SprdManageTasksActivity	generic_settings
com.android.settings/com.android.settings.Settings$SprdTetherSettingsActivity	generic_settings
com.android.settings/com.android.settings.Settings$SuperSnapSettingsActivity	generic_settings
com.android.settings/com.android.settings.Settings$TetherSettingsActivity	generic_settings
com.android.settings/com.android.settings.Settings$TetherSettingsActivity2	generic_settings
com.android.settings/com.android.settings.Settings$TetherSettingsActivityMPCS	generic_settings
com.android.settings/com.android.settings.Settings$TetherWifiSettingsActivity	generic_settings
com.android.settings/com.android.settings.Settings$WifiApSettingsActivity	generic_settings
com.android.settings/com.android.settings.Settings$WifiDisplaySettingsActivity	generic_settings
com.android.settings/com.android.settings.Settings$WifiP2pSettingsActivity	generic_settings
com.android.settings/com.android.settings.Settings$WifiSettingsActivity	generic_settings
com.android.settings/com.android.settings.Settings$ZteTmoTetheringActivity	generic_settings
com.android.settings/com.android.settings.SettingsActivity	generic_settings
com.android.settings/com.android.settings.SettingsEMUI	generic_settings
com.android.settings/com.android.settings.SettingsMain	generic_settings
com.android.settings/com.android.settings.SettingsMatricStyle	generic_settings
com.android.settings/com.android.settings.SettingsTab	generic_settings
com.android.settings/com.android.settings.SettingsTabActivity	generic_settings
com.android.settings/com.android.settings.SettingsTabStyle	generic_settings
com.android.settings/com.android.settings.Settings_Root	generic_settings
com.android.settings/com.android.settings.SimCardManagement	generic_settings
com.android.settings/com.android.settings.SugarKeyStart	generic_settings
com.android.settings/com.android.settings.SystemActivity	generic_settings
com.android.settings/com.android.settings.TabSettings	generic_settings
com.android.settings/com.android.settings.TabbedSettings	generic_settings
com.android.settings/com.android.settings.TetherSettings	generic_settings
com.android.settings/com.android.settings.TetherSettingsActivity	generic_settings
com.android.settings/com.android.settings.TetherSettingsLenovo	generic_settings
com.android.settings/com.android.settings.TetherSettingsShortCutLauncherSupport	generic_settings
com.android.settings/com.android.settings.TetherSettingsShortCutMPCS	generic_settings
com.android.settings/com.android.settings.TetherSettingsWifi	generic_settings
com.android.settings/com.android.settings.UsageManager	generic_settings
com.android.settings/com.android.settings.bluetooth.BluetoothSettings	generic_settings
com.android.settings/com.android.settings.dual.DualManagerAppActivity	generic_settings
com.android.settings/com.android.settings.fingerprint.FingerprintSettings	generic_settings
com.android.settings/com.android.settings.fingerprint.YLFingerprintMainActivity	generic_settings
com.android.settings/com.android.settings.fpmanager.FpSettings	generic_settings
com.android.settings/com.android.settings.framework.activity.HtcSettings	generic_settings
com.android.settings/com.android.settings.jrdTethering.JrdTetherSettings	generic_settings
com.android.settings/com.android.settings.mokee.helper.activities.MoKeeForum	generic_settings
com.android.settings/com.android.settings.mokee.helper.activities.TipsHelp	generic_settings
com.android.settings/com.android.settings.power.PowerManagementActivity	generic_settings
com.android.settings/com.android.settings.powersave.MainActivity	generic_settings
com.android.settings/com.android.settings.sudamod.LocationLookup	generic_settings
com.android.settings/com.android.settings.usagemanager.UsageManagerActivity	generic_settings
com.android.settings/com.android.settings.wfd.WifiDisplayEnableActivity	generic_settings
com.android.settings/com.android.settings.wfd.WifiDisplaySettingsActivity	generic_settings
com.android.settings/com.android.settings.wifi.hotspot.TetherWifiSettings	generic_settings
com.android.settings/com.magcomm.powersave.SurperPowerLauncher	generic_settings
com.android.settings/com.meizu.settings.ContainerActivity	generic_settings
com.android.settings/com.miui.securitycenter.Main	generic_settings
com.android.settings/com.oppo.settings.SettingsActivity	generic_settings
com.android.settings/com.transsion.faq.activity.MainActivity	generic_settings
com.android.settings/com_android_settings_applicationsettings	generic_settings
com.android.soundrecorder/com.android.soundrecorder.AsusRecorder	generic_voice_recorder_waves
com.android.soundrecorder/com.android.soundrecorder.HQSoundRecorder	generic_voice_recorder_waves
com.android.soundrecorder/com.android.soundrecorder.LewaSoundRecordMainActivity	generic_voice_recorder_waves
com.android.soundrecorder/com.android.soundrecorder.MainActivity	generic_voice_recorder_waves
com.android.soundrecorder/com.android.soundrecorder.MzRecorderActivity	generic_voice_recorder_waves
com.android.soundrecorder/com.android.soundrecorder.NewSoundRecorder	generic_voice_recorder_waves
com.android.soundrecorder/com.android.soundrecorder.RecordActivity	generic_voice_recorder_waves
com.android.soundrecorder/com.android.soundrecorder.RecordListActivity	generic_voice_recorder_waves
com.android.soundrecorder/com.android.soundrecorder.RecorderActivity	generic_voice_recorder_waves
com.android.soundrecorder/com.android.soundrecorder.Sound	generic_voice_recorder_waves
com.android.soundrecorder/com.android.soundrecorder.SoundRecorder	generic_voice_recorder_waves
com.android.soundrecorder/com.android.soundrecorder.SoundRecorderLauncher	generic_voice_recorder_waves
com.android.soundrecorder/com.android.soundrecorder.SoundRecorderTab	generic_voice_recorder_waves
com.android.soundrecorder/com.android.soundrecorder.StartActivity	generic_voice_recorder_waves
com.android.soundrecorder/com.android.soundrecorder.VoiceNoteRecorder	generic_voice_recorder_waves
com.android.soundrecorder/com.android.soundrecorder.activity.MzRecorderActivity	generic_voice_recorder_waves
com.android.soundrecorder/com.bv.soundrecorder.RecorderActivity	generic_voice_recorder_waves
com.android.soundrecorder/com.sprd.soundrecorder.RecorderActivity	generic_voice_recorder_waves
com.android.vending/com.android.vending.AssetBrowserActivity	google_play_store
com.android.vending/com.google.android.finsky.activities.PlayLauncherActivity	google_play_store
com.android.vending/com.google.android.finsky.tvmainactivity.TvMainActivity	google_play_store
com.android.vending/com.squareup.leakcanary.internal.DisplayLeakActivity	google_play_store
com.android.vending/org.lighthouseex.MainActivity	google_play_store
com.android.vending/org.microg.vending.ui.MainActivity	google_play_store
com.autonavi.minimap/com.autonavi.map.activity.SplashActivity	amap
com.azure.authenticator/com.azure.authenticator.ui.LaunchActivity	microsoft_authenticator
com.azure.authenticator/com.azure.authenticator.ui.MainActivity	microsoft_authenticator
com.baidu.netdisk/com.baidu.netdisk.ui.DefaultMainActivity	baidu_netdisk
com.baidu.netdisk/com.baidu.netdisk.ui.SvipLauncherActivity	baidu_netdisk
com.coolapk.market/com.coolapk.market.SplashActivity	coolapk
com.coolapk.market/com.coolapk.market.activity.MainActivity	coolapk
com.coolapk.market/com.coolapk.market.view.main.MainActivity	coolapk
com.deepseek.chat/com.deepseek.chat.MainActivity	deepseek
com.deepseek.chat/com.deepseek.chat.MainActivityoctopus	deepseek
com.duokan.phone.remotecontroller/com.xiaomi.mitv.phone.remotecontroller.HoriWidgetMainActivityV2	mi_remote
com.eg.android.AlipayGphone/com.alipay.android.client.WelcomeUse	alipay
com.eg.android.AlipayGphone/com.eg.android.AlipayGphone.AlipayLogin	alipay
com.facebook.katana/com.facebook.katana.LoginActivity	facebook
com.facebook.katana/com.facebook.katana.activity.media.CameraLauncherActivity	facebook
com.facebook.katana/com.facebook.katana.orca.ThreadListLauncherActivity	facebook
com.fenbi.android.solar/com.fenbi.android.solar.activity.RouterActivity	small_monkey_search
com.follow.clash/com.follow.clash.MainActivity	flclash
com.github.android/com.github.android.activities.MainActivity	github
com.github.android/com.github.android.main.MainActivity	github
com.google.android.apps.authenticator2/com.google.android.apps.authenticator.AuthenticatorActivity	google_authenticator
com.google.android.apps.authenticator2/com.google.android.apps.authenticator2.main.MainActivity	google_authenticator
com.google.android.apps.docs/com.google.android.apps.docs.app.HomeScreenActivity	google_drive
com.google.android.apps.docs/com.google.android.apps.docs.app.MainProxyActivity	google_drive
com.google.android.apps.docs/com.google.android.apps.docs.app.NewMainProxyActivity	google_drive
com.google.android.apps.docs/com.google.android.archive.ReactivateActivity	google_drive
com.google.android.apps.maps/com.android.internal.app.ResolverActivity	google_maps
com.google.android.apps.maps/com.google.android.maps.LatitudeActivity	google_maps
com.google.android.apps.maps/com.google.android.maps.MapsActivity	google_maps
com.google.android.apps.maps/com.google.android.maps.PlacesActivity	google_maps
com.google.android.apps.maps/com.google.android.maps.TrafficHubActivity	google_maps
com.google.android.apps.maps/com.google.android.maps.driveabout.app.DestinationActivity	google_maps
com.google.android.apps.maps/com.google.android.maps.driveabout.app.NavigationActivity	google_maps
com.google.android.apps.maps/com.google.android.maps.driveabout.app.SearchActivity	google_maps
com.google.android.apps.maps/com.google.android.maps.driveabout.app.SettingsActivity	google_maps
com.google.android.apps.photos/com.google.android.apps.photos.home.HomeActivity	google_photos
com.google.android.apps.photos/com.google.android.archive.ReactivateActivity	google_photos
com.google.android.gm/com.google.android.gm.AutoSendActivity	gmail
com.google.android.gm/com.google.android.gm.ComposeActivityGmail	gmail
com.google.android.gm/com.google.android.gm.ConversationListActivityGmail	gmail
com.google.android.gm/com.google.android.gm.ConversationListActivityGoogleMail	gmail
com.google.android.gm/com.google.android.gm.GmailActivity	gmail
com.google.android.gm/com.google.android.gm.MailboxSelectionActivity	gmail
com.google.android.gm/com.google.android.gm.MailboxSelectionActivityGoogleMail	gmail
com.google.android.gm/com.google.android.gm.MailboxSelectionActivitygoogle_mail	gmail
com.google.android.gm/com.google.android.gm.Preference.GmailPreferenceActivity	gmail
com.google.android.gm/com.google.android.gm.ui.MailActivityGmailSafeMode	gmail
com.google.android.googlequicksearchbox/com.google.android.apps.gsa.staticplugins.opa.EnterOpaActivityFromLauncher	google
com.google.android.googlequicksearchbox/com.google.android.apps.gsa.velour.DynamicActivityTrampoline	google
com.google.android.googlequicksearchbox/com.google.android.apps.search.assistant.surfaces.voice.robin.launcher.RobinEntryPointActivity	google_gemini
com.google.android.googlequicksearchbox/com.google.android.apps.search.soundsearch.shortcut.AddShortcutActivity	music_search_google_shortcuts_launcher
com.google.android.googlequicksearchbox/com.google.android.apps.search.soundsearch.shortcut.AliasAddShortcutActivity	music_search_google_shortcuts_launcher
com.google.android.googlequicksearchbox/com.google.android.apps.search.weather.entrypoints.appicon.WeatherAppIconActivity	google
com.google.android.googlequicksearchbox/com.google.android.googlequicksearchbox.GoogleSearch	google
com.google.android.googlequicksearchbox/com.google.android.googlequicksearchbox.MainActivity	google
com.google.android.googlequicksearchbox/com.google.android.googlequicksearchbox.MainInfoGatewayInternal	google
com.google.android.googlequicksearchbox/com.google.android.googlequicksearchbox.SearchActivity	google
com.google.android.googlequicksearchbox/com.google.android.googlequicksearchbox.VoiceSearchActivity	google
com.google.android.googlequicksearchbox/com.google.android.googlequicksearchbox.VoiceSearchPreferences	google
com.google.android.googlequicksearchbox/com.google.android.handsfree.HandsFreeLauncherActivity	google
com.google.android.googlequicksearchbox/com.google.android.search.clientui.SearchServiceClientActivity	google
com.google.android.inputmethod.latin/com.android.inputmethod.latin.setup.SetupActivity	gboard
com.google.android.inputmethod.latin/com.google.android.apps.inputmethod.libs.framework.core.LauncherActivity	gboard
com.google.android.inputmethod.latin/com.google.android.libraries.inputmethod.launcher.LauncherActivity	gboard
com.google.android.youtube/.app.honeycomb.Shell$HomeActivity	youtube
com.google.android.youtube/com.google.android.youtube.HomeActivity	youtube
com.google.android.youtube/com.google.android.youtube.HomePage	youtube
com.google.android.youtube/com.google.android.youtube.app.froyo.phone.HomeActivity	youtube
com.google.android.youtube/com.google.android.youtube.app.honeycomb.Shell	youtube
com.google.android.youtube/com.google.android.youtube.app.honeycomb.Shell$HomeActivity	youtube
com.google.android.youtube/com.google.android.youtube.app.tablet.HomeActivity	youtube
com.google.android.youtube/net.ogmods.youtube.OGDownloadManager1	youtube
